X,Y,naturraum,PBEZ.x,POT,PUT,sand,clay,silt,precipitation,temperature,elevation,slope,evi,lai,ndvi,tpimin,tpimean,tpimax,Geology,Landuse,wetness.twi,ruggedness.TRI,range,T1_Gruppe,depth
554354.524692762,5537711.07767197,133,Bv,25.0,50.0,83.6,5.3,11.1,660.559530727836,9.16807753133292,156.543687964668,0.527256005891692,0.254668952952123,19.6833046422664,0.477803482217587,0.0141183101840774,0.0582153924240805,0.102312469000464,31159,2,6.91479874539925,1.10500921724342,25,,37.5
554354.524692762,5537711.07767197,133,Bv-iCv,50.0,85.0,91.1,3.7,5.2,660.559530727836,9.16807753133292,156.543687964668,0.527256005891692,0.254668952952123,19.6833046422664,0.477803482217587,0.0141183101840774,0.0582153924240805,0.102312469000464,31159,2,6.91479874539925,1.10500921724342,35,,67.5
554354.524692762,5537711.07767197,133,M,85.0,100.0,76.9,7.7,15.4,660.559530727836,9.16807753133292,156.543687964668,0.527256005891692,0.254668952952123,19.6833046422664,0.477803482217587,0.0141183101840774,0.0582153924240805,0.102312469000464,31159,2,6.91479874539925,1.10500921724342,15,,92.5
546747.125640352,5545599.40863438,141,IaAch,0.0,35.0,32.84,12.0,22.8,756.257131708322,9.08942220409778,152.070198062066,1.61338632928011,0.24968284542492,9.93601172998283,0.483576631173248,0.158894883694328,0.316610221738054,0.474325570643762,31159,1,5.85228204096477,1.67416329251731,35,,17.5
546747.125640352,5545599.40863438,141,IIaMc1,35.0,75.0,38.1,7.7,18.4,756.257131708322,9.08942220409778,152.070198062066,1.61338632928011,0.24968284542492,9.93601172998283,0.483576631173248,0.158894883694328,0.316610221738054,0.474325570643762,31159,1,5.85228204096477,1.67416329251731,40,,55.0
546747.125640352,5545599.40863438,141,IIaMc2,75.0,105.0,26.29,9.8,27.5,756.257131708322,9.08942220409778,152.070198062066,1.61338632928011,0.24968284542492,9.93601172998283,0.483576631173248,0.158894883694328,0.316610221738054,0.474325570643762,31159,1,5.85228204096477,1.67416329251731,30,,90.0
572704.132838716,5488964.38773212,130,IAp,0.0,33.0,3.6,15.6,80.8,636.362527100321,8.77955085630826,330.077349175741,1.08695178238631,0.36432909249137,1.50940701711122,0.566484863138278,-0.0010284128385781,0.0376997026396856,0.0764278209081479,14023,2,7.49573412293596,0.801802495031537,33,Känozoikum,16.5
572704.132838716,5488964.38773212,130,IAl,33.0,39.0,4.4,16.0,79.5,636.362527100321,8.77955085630826,330.077349175741,1.08695178238631,0.36432909249137,1.50940701711122,0.566484863138278,-0.0010284128385781,0.0376997026396856,0.0764278209081479,14023,2,7.49573412293596,0.801802495031537,6,Känozoikum,36.0
572704.132838716,5488964.38773212,130,IBt,39.0,70.0,4.5,30.3,65.3,636.362527100321,8.77955085630826,330.077349175741,1.08695178238631,0.36432909249137,1.50940701711122,0.566484863138278,-0.0010284128385781,0.0376997026396856,0.0764278209081479,14023,2,7.49573412293596,0.801802495031537,31,Känozoikum,54.5
572704.132838716,5488964.38773212,130,IBtv,70.0,85.0,2.6,33.9,63.4,636.362527100321,8.77955085630826,330.077349175741,1.08695178238631,0.36432909249137,1.50940701711122,0.566484863138278,-0.0010284128385781,0.0376997026396856,0.0764278209081479,14023,2,7.49573412293596,0.801802495031537,15,Känozoikum,77.5
572704.132838716,5488964.38773212,130,IlCv,85.0,100.0,3.5,24.7,71.8,636.362527100321,8.77955085630826,330.077349175741,1.08695178238631,0.36432909249137,1.50940701711122,0.566484863138278,-0.0010284128385781,0.0376997026396856,0.0764278209081479,14023,2,7.49573412293596,0.801802495031537,15,Känozoikum,92.5
572629.114573183,5489014.41352789,130,IAh,0.0,23.0,3.6,12.8,83.6,634.526382580965,8.78890475928098,328.820057199571,1.22871630034813,0.371104372991005,1.55560910143217,0.593588502228114,0.0282635239971707,0.0633375402499772,0.0984115555514939,14023,3,7.40134321516974,0.833082192033287,23,Känozoikum,11.5
572629.114573183,5489014.41352789,130,IAl,23.0,40.0,3.1,14.7,82.3,634.526382580965,8.78890475928098,328.820057199571,1.22871630034813,0.371104372991005,1.55560910143217,0.593588502228114,0.0282635239971707,0.0633375402499772,0.0984115555514939,14023,3,7.40134321516974,0.833082192033287,17,Känozoikum,31.5
572629.114573183,5489014.41352789,130,IBt,40.0,75.0,2.5,37.7,59.8,634.526382580965,8.78890475928098,328.820057199571,1.22871630034813,0.371104372991005,1.55560910143217,0.593588502228114,0.0282635239971707,0.0633375402499772,0.0984115555514939,14023,3,7.40134321516974,0.833082192033287,35,Känozoikum,57.5
572629.114573183,5489014.41352789,130,IBtv,75.0,85.0,2.1,32.5,65.4,634.526382580965,8.78890475928098,328.820057199571,1.22871630034813,0.371104372991005,1.55560910143217,0.593588502228114,0.0282635239971707,0.0633375402499772,0.0984115555514939,14023,3,7.40134321516974,0.833082192033287,10,Känozoikum,80.0
572629.114573183,5489014.41352789,130,IlCv,85.0,100.0,5.2,22.5,72.3,634.526382580965,8.78890475928098,328.820057199571,1.22871630034813,0.371104372991005,1.55560910143217,0.593588502228114,0.0282635239971707,0.0633375402499772,0.0984115555514939,14023,3,7.40134321516974,0.833082192033287,15,Känozoikum,92.5
568990.027015521,5487055.78591066,129,IAh,0.0,9.0,10.0,23.1,67.0,682.975197739384,8.65176166779903,349.678332133285,3.32875661979069,0.401563763445092,2.84774105607074,0.689704861277513,0.110711525375364,0.144417218722253,0.178122912158729,14023,3,6.19619106923237,2.28630832358545,9,Känozoikum,4.5
